2025-12-19 20:53:24,667 - __main__ - INFO - [Main] Starting Flask + Socket.IO app
2025-12-19 20:53:24,670 - notifications.udp_listener - INFO - Started on port 6003
2025-12-19 20:53:24,670 - notifications.udp_listener - INFO - Listening on port 6003
2025-12-19 20:53:29,071 - websocket.socket_handlers - INFO - Client connected, sid=k5xj5yU7S6al091oAAAB
2025-12-19 20:53:29,101 - websocket.socket_handlers - INFO - Subscribe requested: sid=k5xj5yU7S6al091oAAAB, sysname=viole, topic=systemstatus
2025-12-19 20:53:29,102 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=k5xj5yU7S6al091oAAAB)
2025-12-19 20:53:39,438 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=k5xj5yU7S6al091oAAAB
2025-12-19 20:54:09,067 - websocket.socket_handlers - INFO - Client disconnected, sid=k5xj5yU7S6al091oAAAB
2025-12-19 20:54:09,068 - websocket.websocket_manager - INFO - Client disconnected from viole:systemstatus (sid=k5xj5yU7S6al091oAAAB)
2025-12-19 21:01:10,271 - websocket.socket_handlers - INFO - Client connected, sid=ZrckBBIQmf1WG6vcAAAD
2025-12-19 21:01:10,285 - websocket.socket_handlers - INFO - Subscribe requested: sid=ZrckBBIQmf1WG6vcAAAD, sysname=viole, topic=systemstatus
2025-12-19 21:01:10,286 - websocket.websocket_manager - INFO - Client connected to viole:systemstatus (sid=ZrckBBIQmf1WG6vcAAAD)
2025-12-19 21:01:20,597 - websocket.socket_handlers - INFO - Sent initial systemstatus data to sid=ZrckBBIQmf1WG6vcAAAD
2025-12-19 21:15:41,198 - __main__ - INFO - [Main] Starting Flask + Socket.IO app
2025-12-19 21:15:41,200 - notifications.udp_listener - INFO - Started on port 6003
2025-12-19 21:15:41,201 - notifications.udp_listener - INFO - Listening on port 6003
2025-12-19 21:54:09,113 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:09,118 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:16,237 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:16,238 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:23,294 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:23,306 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:30,527 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:30,529 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:37,355 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:37,356 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:44,512 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:44,513 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:51,883 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:51,884 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:54:59,287 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:54:59,287 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:06,173 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:06,173 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:13,150 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:13,151 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:19,891 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:19,892 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:26,961 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:26,962 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:34,338 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:34,345 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:41,160 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:41,161 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:55:48,081 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:55:48,082 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
